7276022|1945|November|Tom's River, New Jersey|Page 1
6782810|1957|November|Hollywood, California|Page 1
8846254|1958|June|Marshalltown, Iowa|Page 1
7202671|1958|November|Brooklyn, New York|Page 1
7199009|1958|September|New York, NY|Page 1
7199761|1958|September|Milan, Indiana|Page 1
8674830|1961|April|Reno Nevada|Page 1
7438789|1965|July|Battle Creek, Michigan|Page 1
6778710|1953|November|SAUDIA ARABIA|Page 1
8291671|1966|October|Centerport, Long Island, New York|Page 1
6786392|1956|June|Columbus, Ohio|Page 1
8692399|1965|December|Santiago, Chile|Page 1
6785820|1956|May|Rochester, Indiana|Page 1
8681821|1966|March|Enon, Ohio|Page 1
8645988|1962|March|La Puente, Calif|Page 1
8287448|1966|August|Oakland, California|Page 1
8409449|1959|September|Lexington, Kentucky|Page 1
6785856|1956|May|Limon, Colorado|Page 1
8263861|1966|November|North Sacramento, California|Page 1
8694191|1961|October|Baltimore, Maryland|Page 1
9670115|1948|March|Bakersfield, Calif (#109)|Page 1
9665971|1967|February|Christianburg, Ohio|Page 1
8303092|1961|September|20.50N 176.00E (Pacific)|Page 1
6782474|1969|August|High View, W. Va.|Page 1
7091596|1966|April|ASHBY, MASSACHUSETTS|Page 1
8672806|1963|July|Hamilton, Montana|Page 1
6788098|1957|April|Washington, D.C.|Page 1
6887786|1968|May|COLUMBIA, SOUTH CAROLINA|Page 1
6786355|1957|January|Dayton, Ohio|Page 1
8646308|1962|March|42.27N 126.49W Off Oregon Coast|Page 1
6779277|1959|December|Quantico, Va|Page 1
8687438|1964|February|Marshall, Michigan|Page 1
8302885|1961|September|Osan AFB, Korea|Page 1
6975377|1959|February|Coburn, Virginia (#6287)|Page 1
6789553|1957|May|Washington, D.C.|Page 1
6972278|1957|October|Camp Hill, Alabama|Page 1
6384283|1953|March|Pasadena, Texas|Page 1
9665981|1967|February|Chagrin Falls, Ohio|Page 1
9080064|1959|April|Batesville, Ark.|Page 1
8694650|1965|December|Sabina, Ohio|Page 1
6781614|1957|November|Long Beach, Calif (Area)|Page 1
6979562|1953|August|Port Moresby, New Guinea|Page 1
6778770|1953|November|MINNEAPOLIS, MINNESOTA|Page 1
7340058|1955|December|Caddo Lake, Louisiana|Page 1
6786552|1957|January|Liberty, Pennsylvania|Page 1
9554155|1953|February|Pittsburg, California|Page 1
9068956|1965|March|Springfield, Ohio|Page 1
7823136|1960|August|Chicago, Illinois|Page 1
8540669|1967|January|Salem, Ohio|Page 1
6309556|1949|Summer|Moscow|Page 1
8688480|1962|August|Liberal, Kansas|Page 1
6384261|1953|March|Anchorage, Alaska|Page 1
7202911|1958|November|Over Wilkes Barre, Pa.|Page 1
7202845|1958|November|Alberto, Long Island NY|Page 1
8271194|1966|November|Cincinnati, Ohio|Page 1
6779284|1957|November|Lake County, Ohio|Page 1
8771289|1952|August|Schenectady, New York|Page 1
6384574|1953|April|Sweetwater, Nevada|Page 1
6783308|1957|November|Montezuma, Indiana|Page 1
6782269|1957|November|Waynesville, Ohio|Page 1
6789822|1957|May|Bel Air, Maryland|Page 1
8302965|1961|September|3630N 13945E (FAR EAST)|Page 1
8286889|1966|[ILLEGIBLE]|Bear Mountain State Park, New York|Page 1
8233213|1960|October|Mount Kisko, New York|Page 1
9548979|1953|January|Lexington, Kentucky|Page 1
8541780|1967|January|Over Yardley, Pa./Plattebury AFB, New York|Page 1
8680905|1966|March|West Milton, Kettering, Fairborn, Ohio|Page 1
6313550|1952|April|Oak Forest, Texas|Page 1
6783249|1957|November|Oregon City, Oregon|Page 1
6789913|1957|May|Berlin, Germany|Page 1
6782970|1957|November|Johnson Air Base, Japan|Page 1
6786829|1957|February|Tuxedo, New York|Page 1
8857153|1958|July|Raytown, Missouri|Page 1
6786435|1957|January|Santa Maria, California|Page 1
7203973|1958|December|N Of Halsingberg, Sweden|Page 1
6786245|1956|June|Banning, California|Page 1
6781453|1954|May|44.54 N 49.30 W (Atlantic)|Page 1
9316430|1962|December|Lincoln Park, Michigan|Page 1
6971284|1960|March|Gulf Of Mexico|Page 1
8666588|1963|June|Niagra Falls, New York|Page 1
6961572|1958|February|3 Mi W of Cleveland, Ohio|Page 1
7203095|1968|August|SELMA, CALIFORNIA|Page 1
7072136|1956|October|North of Ontario, Canada|Page 1
6959287|1955|April|Rome, Georgia|Page 1
8406682|1959|June|Camp Lucas, Mich|Page 1
9421946|[ILLEGIBLE]|August|42.00N 169.00W (Pacific)|Page 1
6779399|1957|November|North Vassalboro, Maine|Page 1
6311961|1952|April|Point Hope, Alaska|Page 1
7201170|1968|July|GARFIELD, NEW JERSEY|Page 1
8847422|1958|June|Las Cruces, N. M.|Page 1
6982170|1953|October|Union Lake, Mich|Page 1
6779560|1954|January|Las Vegas, Nevada|Page 1
8688560|1962|August|Azuza, California|Page 1
8235135|1960|October|Moody AFB, Georgia|Page 1
8847086|1958|June|N Of Philadelphia, Pa.|Page 1
8686452|1961|May|[ILLEGIBLE]|Page 1
8772059|1952|August|Richmond, Virginia|Page 1
9316555|1963|January|Nantucket Point, Long Island, N Y|Page 1
7071050|1956|September|Ellwood, Pennsylvania|Page 1
6780579|1969|April|Joppatowne, Maryland|Page 1
6964341|1957|July|Longmont, Colorado|Page 1
7414022|1967|September|Tipp City, Ohio|Page 1
6786110|1956|December|Itazuke AB, Japan|Page 1
7822752|1960|August|Zaragoza AB, Spain|Page 1
8770993|1952|August|Holloman AFB, New Mexico|Page 1
6779005|1953|December|Agoura, Calif|Page 1
6967890|1960|January|Long Island, New York|Page 1
8292533|1966|September|Metropolis, Ill.|Page 1
8677255|1962|July|Sagatuck, Michigan|Page 1
8280065|1966|June|98.31W 34.00N (Oklahoma Area)|Page 1
9316228|1962|November|Baltimore, Maryland|Page 1
7095832|1966|April|Lycoming, New York|Page 1
11884637|1955|May|[BLANK]|Page 1
6384485|1953|March|Lyle, Washington|Page 1
8279446|1966|December|Denver, Colorado|Page 1
6779375|1957|November|Laredo AFB, Texas|Page 1
8580583|1952|July|ORLANDO FLA|Page 1
8726430|1954|August|Paris, France|Page 1
